Component,Category,Dependency Name,Version,Source File,GitHub URL,Package Source URL,Status,Diff from Latest,Diff from Release,Critical,NVIDIA Product,Notes
trtllm,Framework,Flash Attn,2.7.4.post1,container/Dockerfile.trtllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.trtllm#L166,N/A,Unchanged,N/A,N/A,Yes,Yes,Dockerfile build argument
trtllm,Base Image,NVIDIA CUDA,12.9.1-runtime-ubuntu24.04,container/Dockerfile.trtllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.trtllm#L60,https://catalog.ngc.nvidia.com/orgs/nvidia/containers/nvidia cuda,Unchanged,N/A,N/A,Yes,Yes,Build/Runtime base image
trtllm,Base Image,NVIDIA PyTorch,25.06-py3,container/Dockerfile.trtllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.trtllm#L37,https://catalog.ngc.nvidia.com/orgs/nvidia/containers/nvidia pytorch,Unchanged,N/A,N/A,Yes,Yes,Build/Runtime base image
trtllm,Framework,Python,3.12,container/Dockerfile.trtllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.trtllm#L31,https://www.python.org/downloads/,Unchanged,N/A,N/A,Yes,Yes,Dockerfile build argument
trtllm,Framework,Pytorch Triton,3.3.0+git96316ce52.nvinternal,container/Dockerfile.trtllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.trtllm#L161,N/A,Unchanged,N/A,N/A,Yes,Yes,Dockerfile build argument
trtllm,Framework,Ucx,v1.18.1,container/deps/trtllm/install_nixl.sh,https://github.com/ai-dynamo/dynamo/blob/main/container/deps/trtllm/install_nixl.sh#L26,N/A,Unchanged,N/A,N/A,Yes,Yes,From installation script
trtllm,Framework,Base Image,25.06-py3,container/Dockerfile.trtllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.trtllm#L5,N/A,Unchanged,N/A,N/A,No,Yes,Dockerfile build argument
trtllm,Base Image,Dynamo:latest None,latest,container/Dockerfile.trtllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.trtllm#L34,N/A,Unchanged,N/A,N/A,No,Yes,Build/Runtime base image
trtllm,Framework,Jinja2,3.1.6,container/Dockerfile.trtllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.trtllm#L162,N/A,Unchanged,N/A,N/A,No,Yes,Dockerfile build argument
trtllm,Framework,Mpmath,1.3.0,container/Dockerfile.trtllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.trtllm#L167,N/A,Unchanged,N/A,N/A,No,Yes,Dockerfile build argument
trtllm,Framework,Networkx,3.5,container/Dockerfile.trtllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.trtllm#L163,N/A,Unchanged,N/A,N/A,No,Yes,Dockerfile build argument
trtllm,Framework,Packaging,23.2,container/Dockerfile.trtllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.trtllm#L165,N/A,Unchanged,N/A,N/A,No,Yes,Dockerfile build argument
trtllm,Base Image,Runtime,latest,container/Dockerfile.trtllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.trtllm#L301,N/A,Unchanged,N/A,N/A,No,Yes,Build/Runtime base image
trtllm,Framework,Runtime Image,12.9.1-runtime-ubuntu24.04,container/Dockerfile.trtllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.trtllm#L8,N/A,Unchanged,N/A,N/A,No,Yes,Dockerfile build argument
trtllm,Framework,Setuptools,78.1.1,container/Dockerfile.trtllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.trtllm#L160,N/A,Unchanged,N/A,N/A,No,Yes,Dockerfile build argument
trtllm,Framework,Sympy,1.14.0,container/Dockerfile.trtllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.trtllm#L164,N/A,Unchanged,N/A,N/A,No,Yes,Dockerfile build argument
trtllm,Framework,Torch,2.8.0a0+5228986c39.nv25.6,container/Dockerfile.trtllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.trtllm#L158,N/A,Unchanged,N/A,N/A,No,Yes,Dockerfile build argument
trtllm,Framework,Torchvision,0.22.0a0+95f10a4e,container/Dockerfile.trtllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.trtllm#L159,N/A,Unchanged,N/A,N/A,No,Yes,Dockerfile build argument
vllm,Framework,Cuda,12.8,container/Dockerfile.vllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.vllm#L14,https://developer.nvidia.com/cuda-downloads,Unchanged,N/A,N/A,Yes,Yes,Dockerfile build argument
vllm,Framework,Cuda,12.8,container/deps/vllm/install_vllm.sh,https://github.com/ai-dynamo/dynamo/blob/main/container/deps/vllm/install_vllm.sh#L27,https://developer.nvidia.com/cuda-downloads,Unchanged,N/A,N/A,Yes,Yes,From installation script
vllm,Framework,Deepgemm,,container/Dockerfile.vllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.vllm#L23,N/A,Unchanged,N/A,N/A,Yes,No,Dockerfile build argument
vllm,Framework,Flashinf,v0.3.1,container/Dockerfile.vllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.vllm#L19,N/A,Unchanged,N/A,N/A,Yes,No,Dockerfile build argument
vllm,Framework,Flashinf,v0.3.1,container/deps/vllm/install_vllm.sh,https://github.com/ai-dynamo/dynamo/blob/main/container/deps/vllm/install_vllm.sh#L32,N/A,Unchanged,N/A,N/A,Yes,No,From installation script
vllm,Base Image,NVIDIA CUDA,12.8.1-runtime-ubuntu24.04,container/Dockerfile.vllm,https://github.com/ai-dynamo/dynamo/blob/main/container/Dockerfile.vllm#L172,https://catalog.ngc.nvidia.com/orgs/nvidia/containers/nvidia cuda,Unchanged,N/A,N/A,Yes,Yes,Build/Runtime base image
