"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test SGLang deployment scenarios using common helpers","0","test_sglang_deployment[anthropic_messages-2]","tests.serve","2026-04-09","skipped","2026-04-09","","test_sglang","",""
"Test that we can import MetricsCollector from TensorRT-LLM.","1","test_tensorrt_llm_metrics_collector_import","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","","test_trtllm_main_init","",""
"Test that width exceeding max_width raises ValueError.","0","test_parse_size_exceeds_max_width","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestVideHandlerParseSize","test_trtllm_video_diffusion","",""
"Test that prompt and model are required.","0","test_required_fields","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestNvCreateVideoRequest","test_trtllm_video_diffusion","",""
"Test decoding embeddings of various sizes.","1","test_various_embedding_sizes[4096]","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestEmbeddingsDataFormats","test_vllm_prompt_embeds","",""
"Test that embeddings are extracted successfully from GPU via CUDA IPC.","17401","test_extracts_all_embeddings","components.src.dynamo.trtllm.tests.multimodal","2026-04-09","passed","2026-04-09","TestExtractEmbeddingsFromHandles","test_trtllm_cuda_ipc","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_sglang_aggregated[migration_enabled-worker_failure-chat-unary-nats]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_sglang","",""
"","0","test_decode_grid_batch_capped","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestBenchmarkGrid","test_vllm_unit","",""
"
    End-to-end test for decode worker request migration in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_decode[migration_disabled-worker_failure-completion-unary-tcp]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_trtllm","",""
"
    End-to-end test for decode worker request migration in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","156365","test_request_migration_trtllm_decode[migration_enabled-worker_failure-chat-stream-nats]","tests.fault_tolerance.migration","2026-04-09","passed","2026-04-09","","test_trtllm","",""
"","0","test_routes_text","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestOutputFormatter","test_output_formatter","",""
"Verify EngineCoreOutput can be constructed with keyword args.

        vllm_processor.py constructs EngineCoreOutput(request_id=...,
        new_token_ids=..., finish_reason=..., stop_reason=...) from router
        responses. This smoke-tests that construction still works and fields
        land in the right positions.
        ","1","test_engine_core_output_construction","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestVllmRendererApi","test_vllm_renderer_api","",""
"Test VideoData with no arguments.","1","test_empty_defaults","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestVideoData","test_trtllm_video_diffusion","",""
"
    Test dynamo deployments with different configurations.
    ","62526","test_deployment[aggregated_logprobs-2]","tests.serve","2026-04-09","passed","2026-04-09","","test_trtllm","",""
"","0","test_default_format_is_wav","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestAudioFormatterEncode","test_output_formatter","",""
"","0","test_rejects_invalid","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestIsRoutable","test_vllm_unit","",""
"Test error handling when registry fails.","0","test_error_handling","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestGetPrometheusExpfmt","test_vllm_prometheus_utils","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_disabled-graceful_shutdown-chat-unary-tcp]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_vllm","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_enabled-graceful_shutdown-chat-unary-nats]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_vllm","",""
"Test that valid absolute path is stored correctly.","1","test_custom_jinja_template_valid_path","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","","test_trtllm_unit","",""
"Pre-set env var → verify not overwritten.","1","test_preserves_existing_env_var","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestEnsureSideChannelHost","test_vllm_unit","",""
"Verify KVCacheEvent uses array_like=True serialization.

        Our Rust deserializers expect msgpack arrays, not objects.
        If this changes, deserialization will break.
        ","1","test_kv_cache_event_uses_array_like","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestVllmKvEventsApi","test_vllm_kv_events_api","",""
"Test that TEXT returns False for is_diffusion.","0","test_is_diffusion_false_for_text","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestModality","test_trtllm_video_diffusion","",""
"For repeated same single-image request: low first overlap, then increase, then stable.","3335","test_vllm_mm_overlap_repeated_single_image","tests.mm_router","2026-04-09","passed","2026-04-09","","test_vllm_mm_router_e2e","",""
