image,package_name,version,type,spdx_license
vllm-runtime,adduser,3.137ubuntu1,dpkg,GPL-2.0-only AND GPL-2.0-or-later
vllm-runtime,apt,2.8.3,dpkg,BSD-3-Clause AND LicenseRef-Expat AND GPL-2.0-only AND GPL-2.0-or-later
vllm-runtime,base-files,13ubuntu10.2,dpkg,LicenseRef-GPL
vllm-runtime,base-passwd,3.6.3build1,dpkg,GPL-2.0-only AND LicenseRef-public-domain
vllm-runtime,bash,5.2.21-2ubuntu4,dpkg,BSD-4-Clause-UC AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3 AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND Latex2e AND LicenseRef-MIT-like AND LicenseRef-permissive
vllm-runtime,binutils,2.42-4ubuntu2.10,dpkg,LicenseRef-GFDL AND LicenseRef-GPL AND LicenseRef-LGPL
vllm-runtime,binutils-common,2.42-4ubuntu2.10,dpkg,LicenseRef-GFDL AND LicenseRef-GPL AND LicenseRef-LGPL
vllm-runtime,binutils-x86-64-linux-gnu,2.42-4ubuntu2.10,dpkg,LicenseRef-GFDL AND LicenseRef-GPL AND LicenseRef-LGPL
vllm-runtime,bsdutils,1:2.39.3-9ubuntu6.5,dpkg,BSD-3-Clause AND BSD-4-Clause AND LicenseRef-BSLA AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-LGPL AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND LicenseRef-public-domain
vllm-runtime,build-essential,12.10ubuntu1,dpkg,LicenseRef-GPL
vllm-runtime,bzip2,1.0.8-5.1build0.1,dpkg,LicenseRef-BSD-variant AND GPL-2.0-only
vllm-runtime,ca-certificates,20240203,dpkg,GPL-2.0-only AND GPL-2.0-or-later AND MPL-2.0
vllm-runtime,coreutils,9.4-3ubuntu6,dpkg,BSD-4-Clause-UC AND FSFULLR AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3 AND GPL-3.0-only AND GPL-3.0-or-later AND ISC
vllm-runtime,cpp,4:13.2.0-7ubuntu1,dpkg,GPL-2.0-only
vllm-runtime,cpp-13,13.3.0-6ubuntu2~24.04.1,dpkg,LicenseRef-Artistic AND GFDL-1.2-only AND LicenseRef-GPL AND GPL-2.0-only AND GPL-3.0-only AND LicenseRef-LGPL
vllm-runtime,cpp-13-x86-64-linux-gnu,13.3.0-6ubuntu2~24.04.1,dpkg,LicenseRef-Artistic AND GFDL-1.2-only AND LicenseRef-GPL AND GPL-2.0-only AND GPL-3.0-only AND LicenseRef-LGPL
vllm-runtime,cpp-x86-64-linux-gnu,4:13.2.0-7ubuntu1,dpkg,GPL-2.0-only
vllm-runtime,cuda-command-line-tools-12-9,12.9.1-1,dpkg,UNKNOWN
vllm-runtime,cuda-compat-12-9,575.57.08-0ubuntu1,dpkg,GPL-2.0-only AND GPL-2.0-or-later AND MIT AND LicenseRef-NVIDIA-graphics-drivers AND Zlib
vllm-runtime,cuda-cudart-12-9,12.9.79-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
vllm-runtime,cuda-cuobjdump-12-9,12.9.82-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
vllm-runtime,cuda-cupti-12-9,12.9.79-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
vllm-runtime,cuda-cupti-dev-12-9,12.9.79-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
vllm-runtime,cuda-gdb-12-9,12.9.79-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
vllm-runtime,cuda-libraries-12-9,12.9.1-1,dpkg,UNKNOWN
vllm-runtime,cuda-nvdisasm-12-9,12.9.88-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
vllm-runtime,cuda-nvprof-12-9,12.9.79-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
vllm-runtime,cuda-nvrtc-12-9,12.9.86-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
vllm-runtime,cuda-nvtx-12-9,12.9.79-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
vllm-runtime,cuda-opencl-12-9,12.9.19-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
vllm-runtime,cuda-sanitizer-12-9,12.9.79-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
vllm-runtime,cuda-toolkit-12-9-config-common,12.9.79-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
vllm-runtime,cuda-toolkit-12-config-common,12.9.79-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
vllm-runtime,cuda-toolkit-config-common,12.9.79-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
vllm-runtime,curl,8.5.0-2ubuntu10.8,dpkg,BSD-3-Clause AND BSD-3-Clause AND BSD-4-Clause-UC AND FSFULLR AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-or-later AND ISC AND OLDAP-2.8 AND X11 AND curl
vllm-runtime,dash,0.5.12-6ubuntu5,dpkg,BSD-3-Clause AND BSD-3-Clause AND GPL-2.0-only AND GPL-2.0-or-later AND LicenseRef-public-domain
vllm-runtime,debconf,1.5.86ubuntu1,dpkg,BSD-2-Clause
vllm-runtime,debianutils,5.17build1,dpkg,GPL-2.0-only AND GPL-2.0-or-later AND SMAIL-GPL AND LicenseRef-public-domain
vllm-runtime,diffutils,1:3.10-1build1,dpkg,FSFAP AND FSFULLR AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3 AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND X11 AND LicenseRef-public-domain
vllm-runtime,dirmngr,2.4.4-2ubuntu17.4,dpkg,BSD-3-Clause AND CC0-1.0 AND LicenseRef-Expat AND GPL-2.0-or-later AND GPL-2.0-only AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND LicenseRef-RFC-Reference AND LicenseRef-TinySCHEME AND LicenseRef-permissive
vllm-runtime,dpkg,1.22.6ubuntu6.5,dpkg,GPL-2.0-only AND GPL-2.0-or-later AND LicenseRef-public-domain-s-s-d
vllm-runtime,dpkg-dev,1.22.6ubuntu6.5,dpkg,GPL-2.0-only AND GPL-2.0-or-later AND LicenseRef-public-domain-s-s-d
vllm-runtime,e2fsprogs,1.47.0-2.4~exp1ubuntu4.1,dpkg,Apache-2.0 AND Apache-2.0 AND BSD-3-Clause AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND ISC AND Kazlib AND LGPL-2.0-only AND Latex2e
vllm-runtime,findutils,4.9.0-5build1,dpkg,BSD-3-Clause AND FSFAP AND FSFULLR AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3- AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND ISC AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND X11 AND LicenseRef-public-domain
vllm-runtime,g++,4:13.2.0-7ubuntu1,dpkg,GPL-2.0-only
vllm-runtime,g++-13,13.3.0-6ubuntu2~24.04.1,dpkg,LicenseRef-Artistic AND GFDL-1.2-only AND LicenseRef-GPL AND GPL-2.0-only AND GPL-3.0-only AND LicenseRef-LGPL
