source,concurrency,tps_gpu,tps_user,tpot_ms,ttft_ms
silicon,8,251.56383300702532,62.89095825175633,15.9005368625,154.343741
mocker,8,283.7091107790454,70.92727769476134,14.098948,125.366807
aic,8,286.09016732412573,71.52254183103143,13.981606,133.520344
silicon,16,460.26230199005164,57.532787748756455,17.3813931,187.3777569375
mocker,16,523.9174539235884,65.48968174044855,15.269581,182.80053
aic,16,528.3969783090398,66.04962228862998,15.140132,159.893945
silicon,32,797.434492628922,49.83965578930763,20.064344028125,236.76897260624995
mocker,32,894.7232799839666,55.92020499899791,17.882624,254.785696
aic,32,904.367132359217,56.52294577245106,17.69193,214.381557
silicon,64,1226.5673845557808,38.33023076736815,26.089068079687497,380.715662553125
mocker,64,1444.8088222193899,45.15027569435593,22.148259,366.452008
aic,64,1463.538700285248,45.735584383914,21.864813,263.343089
silicon,128,1691.421594112507,26.42846240800792,37.837993923437494,652.330944346875
mocker,128,2098.9995774451477,32.79686839758043,30.490716,586.846422
aic,128,2120.277933982629,33.129342718478576,30.184722,291.742775
