model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	worker/main	restore_pod_to_container	2026-04-30T08:52:53.000Z	2026-04-30T08:52:54.000Z	-1.482	1.000	restore pod yaml	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	snapshot-agent	agent_detect_to_restore_start	2026-04-30T08:52:54.482Z	2026-04-30T08:52:54.515Z	0.000	0.033	snapshot-agent log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	snapshot-agent	host_inspect	2026-04-30T08:52:54.515Z	2026-04-30T08:52:54.526Z	0.033	0.011	snapshot-agent Restore timing summary	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	snapshot-agent	agent_nsrestore_launch	2026-04-30T08:52:54.526Z	2026-04-30T08:52:54.545Z	0.044	0.019	snapshot-agent log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	snapshot-agent	nsrestore_setup	2026-04-30T08:52:54.545Z	2026-04-30T08:52:54.557Z	0.063	0.012	snapshot-agent nsrestore timing summary	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	snapshot-agent	criu_restore	2026-04-30T08:52:54.557Z	2026-04-30T08:52:56.916Z	0.075	2.359	snapshot-agent nsrestore timing summary	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	snapshot-agent	cuda_restore	2026-04-30T08:52:56.916Z	2026-04-30T08:52:57.810Z	2.434	0.894	snapshot-agent nsrestore timing summary	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	snapshot-agent	agent_external_complete	2026-04-30T08:52:57.811Z	2026-04-30T08:52:57.814Z	3.329	0.003	snapshot-agent log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	worker/main	restore_complete_to_sentinel	2026-04-30T08:52:57.811Z	2026-04-30T08:52:57.816Z	3.329	0.005	worker main log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	worker/main	worker_wake_up	2026-04-30T08:52:57.816Z	2026-04-30T08:52:57.981Z	3.334	0.165	worker main log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	worker/main	worker_after_wake_to_discovery	2026-04-30T08:52:57.981Z	2026-04-30T08:52:57.996Z	3.499	0.015	worker main log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	worker/main	worker_register_model	2026-04-30T08:52:58.031Z	2026-04-30T08:52:58.416Z	3.549	0.385	worker main log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	worker/main	worker_endpoint_to_metadata_snapshot	2026-04-30T08:52:58.416Z	2026-04-30T08:52:59.371Z	3.934	0.955	worker main log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	worker/main	worker_pod_ready_condition	2026-04-30T08:52:57.981Z	2026-04-30T08:52:58.000Z	3.499	0.019	worker main log + pod yaml	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	kube/discovery	pod_ready_to_metadata_snapshot	2026-04-30T08:52:58.000Z	2026-04-30T08:52:59.371Z	3.518	1.371	pod yaml + worker main log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	frontend/main	frontend_pod_to_container	2026-04-30T08:52:53.000Z	2026-04-30T08:52:56.000Z	-1.482	3.000	frontend pod yaml	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	frontend/main	frontend_start_to_discovery	2026-04-30T08:52:56.000Z	2026-04-30T08:52:56.633Z	1.518	0.633	frontend log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	frontend/main	frontend_discovery_to_metadata_snapshot	2026-04-30T08:52:56.633Z	2026-04-30T08:52:59.371Z	2.151	2.738	frontend log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	frontend/main	frontend_metadata_to_ready	2026-04-30T08:52:59.371Z	2026-04-30T08:53:07.000Z	4.889	7.629	frontend log + pod yaml	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	frontend/main	frontend_ready_to_first_request	2026-04-30T08:53:07.000Z	2026-04-30T08:53:19.068Z	12.518	12.068	frontend log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0430085119	frontend/main	frontend_inference_request	2026-04-30T08:53:19.068Z	2026-04-30T08:53:19.667Z	24.586	0.599	frontend log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	worker/main	restore_pod_to_container	2026-04-30T08:56:51.000Z	2026-04-30T08:56:52.000Z	-2.127	1.000	restore pod yaml	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	snapshot-agent	agent_detect_to_restore_start	2026-04-30T08:56:53.127Z	2026-04-30T08:56:53.157Z	0.000	0.030	snapshot-agent log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	snapshot-agent	host_inspect	2026-04-30T08:56:53.157Z	2026-04-30T08:56:53.171Z	0.030	0.014	snapshot-agent Restore timing summary	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	snapshot-agent	agent_nsrestore_launch	2026-04-30T08:56:53.171Z	2026-04-30T08:56:53.194Z	0.044	0.023	snapshot-agent log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	snapshot-agent	nsrestore_setup	2026-04-30T08:56:53.194Z	2026-04-30T08:56:53.206Z	0.067	0.013	snapshot-agent nsrestore timing summary	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	snapshot-agent	criu_restore	2026-04-30T08:56:53.206Z	2026-04-30T08:56:57.940Z	0.080	4.733	snapshot-agent nsrestore timing summary	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	snapshot-agent	cuda_restore	2026-04-30T08:56:57.940Z	2026-04-30T08:57:00.734Z	4.813	2.795	snapshot-agent nsrestore timing summary	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	snapshot-agent	agent_external_complete	2026-04-30T08:57:00.735Z	2026-04-30T08:57:00.738Z	7.608	0.003	snapshot-agent log	
