model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen3-06b	Qwen/Qwen3-0.6B	gms-defapi-preload2-q3-06-0506174551	snapshot-agent	criu_restore	2026-05-06T17:47:38.982Z	2026-05-06T17:47:41.493Z	0.076	2.511	snapshot-agent nsrestore timing summary	
qwen3-06b	Qwen/Qwen3-0.6B	gms-defapi-preload2-q3-06-0506174551	snapshot-agent	cuda_restore	2026-05-06T17:47:41.493Z	2026-05-06T17:47:41.954Z	2.587	0.462	snapshot-agent nsrestore timing summary	
qwen3-06b	Qwen/Qwen3-0.6B	gms-defapi-preload2-q3-06-0506174551	worker/gms-server	k8s_pod_to_gms_server	2026-05-06T17:47:33.000Z	2026-05-06T17:47:34.000Z	-5.906	1.000	restore pod yaml	
qwen3-06b	Qwen/Qwen3-0.6B	gms-defapi-preload2-q3-06-0506174551	worker/gms-loader	gms_loader_pod_to_container	2026-05-06T17:47:33.000Z	2026-05-06T17:47:37.000Z	-5.906	4.000	restore pod yaml	
qwen3-06b	Qwen/Qwen3-0.6B	gms-defapi-preload2-q3-06-0506174551	orchestration/manual-trigger	manual_restore_trigger_patch	2026-05-06T17:47:37.970Z	2026-05-06T17:47:39.003Z	-0.936	1.033	benchmark harness	
qwen3-06b	Qwen/Qwen3-0.6B	gms-defapi-preload2-q3-06-0506174551	worker/gms-loader	gms_load_wait_for_rw	2026-05-06T17:47:38.941Z	2026-05-06T17:47:38.950Z	0.035	0.009	gms-loader log	
qwen3-06b	Qwen/Qwen3-0.6B	gms-defapi-preload2-q3-06-0506174551	worker/gms-loader	gms_load_phase_a_allocate_va	2026-05-06T17:47:38.950Z	2026-05-06T17:47:39.063Z	0.044	0.113	gms-loader log	
qwen3-06b	Qwen/Qwen3-0.6B	gms-defapi-preload2-q3-06-0506174551	worker/gms-loader	gms_load_phase_b_stream_to_gpu	2026-05-06T17:47:39.063Z	2026-05-06T17:47:39.214Z	0.157	0.151	gms-loader log	59 allocations
qwen3-06b	Qwen/Qwen3-0.6B	gms-defapi-preload2-q3-06-0506174551	worker/gms-loader	gms_load_metadata_commit	2026-05-06T17:47:39.214Z	2026-05-06T17:47:39.235Z	0.308	0.021	gms-loader log	
qwen3-06b	Qwen/Qwen3-0.6B	gms-defapi-preload2-q3-06-0506174551	worker/gms-loader	gms_load_sentinel	2026-05-06T17:47:39.238Z	2026-05-06T17:47:39.244Z	0.332	0.006	gms-loader log	
qwen3-06b	Qwen/Qwen3-0.6B	gms-defapi-preload2-q3-06-0506174551	worker/main	main_pod_to_container	2026-05-06T17:47:33.000Z	2026-05-06T17:47:36.000Z	-5.906	3.000	restore pod yaml	
qwen3-06b	Qwen/Qwen3-0.6B	gms-defapi-preload2-q3-06-0506174551	snapshot-agent	restore_agent_to_nsrestore	2026-05-06T17:47:38.906Z	2026-05-06T17:47:38.963Z	0.000	0.057	snapshot-agent	
qwen3-06b	Qwen/Qwen3-0.6B	gms-defapi-preload2-q3-06-0506174551	worker/main	main_gms_remap	2026-05-06T17:47:42.008Z	2026-05-06T17:47:42.046Z	3.102	0.038	worker main log	
qwen3-06b	Qwen/Qwen3-0.6B	gms-defapi-preload2-q3-06-0506174551	worker/main	registration_to_generate_endpoint	2026-05-06T17:47:42.066Z	2026-05-06T17:47:42.359Z	3.160	0.293	worker main log	
qwen3-06b	Qwen/Qwen3-0.6B	gms-defapi-preload2-q3-06-0506174551	worker/main	generate_endpoint_to_metadata_snapshot	2026-05-06T17:47:42.359Z	2026-05-06T17:47:43.250Z	3.453	0.891	worker main log	
