model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen3-06b	Qwen/Qwen3-0.6B	gms-local-ssd-pinned-manu-0503173108	snapshot-agent	criu_restore	2026-05-03T17:32:56.774Z	2026-05-03T17:32:58.861Z	0.145	2.087	snapshot-agent nsrestore timing summary	
qwen3-06b	Qwen/Qwen3-0.6B	gms-local-ssd-pinned-manu-0503173108	snapshot-agent	cuda_restore	2026-05-03T17:32:58.861Z	2026-05-03T17:32:59.465Z	2.231	0.604	snapshot-agent nsrestore timing summary	
qwen3-06b	Qwen/Qwen3-0.6B	gms-local-ssd-pinned-manu-0503173108	worker/gms-server	k8s_pod_to_gms_server	2026-05-03T17:32:52.000Z	2026-05-03T17:32:53.000Z	-4.630	1.000	restore pod yaml	
qwen3-06b	Qwen/Qwen3-0.6B	gms-local-ssd-pinned-manu-0503173108	worker/gms-loader	gms_loader_pod_to_container	2026-05-03T17:32:52.000Z	2026-05-03T17:32:54.000Z	-4.630	2.000	restore pod yaml	
qwen3-06b	Qwen/Qwen3-0.6B	gms-local-ssd-pinned-manu-0503173108	orchestration/manual-trigger	manual_restore_trigger_patch	2026-05-03T17:32:55.974Z	2026-05-03T17:32:56.739Z	-0.656	0.765	benchmark harness	
qwen3-06b	Qwen/Qwen3-0.6B	gms-local-ssd-pinned-manu-0503173108	worker/gms-loader	gms_load_wait_for_rw	2026-05-03T17:32:56.651Z	2026-05-03T17:32:56.942Z	0.021	0.291	gms-loader log	
qwen3-06b	Qwen/Qwen3-0.6B	gms-local-ssd-pinned-manu-0503173108	worker/gms-loader	gms_load_phase_a_allocate_va	2026-05-03T17:32:56.942Z	2026-05-03T17:32:56.993Z	0.312	0.051	gms-loader log	
qwen3-06b	Qwen/Qwen3-0.6B	gms-local-ssd-pinned-manu-0503173108	worker/gms-loader	gms_load_phase_b_stream_to_gpu	2026-05-03T17:32:56.993Z	2026-05-03T17:32:57.239Z	0.363	0.246	gms-loader log	59 allocations
qwen3-06b	Qwen/Qwen3-0.6B	gms-local-ssd-pinned-manu-0503173108	worker/gms-loader	gms_load_metadata_commit	2026-05-03T17:32:57.239Z	2026-05-03T17:32:57.253Z	0.609	0.014	gms-loader log	
qwen3-06b	Qwen/Qwen3-0.6B	gms-local-ssd-pinned-manu-0503173108	worker/gms-loader	gms_load_sentinel	2026-05-03T17:32:57.256Z	2026-05-03T17:32:57.261Z	0.626	0.005	gms-loader log	
qwen3-06b	Qwen/Qwen3-0.6B	gms-local-ssd-pinned-manu-0503173108	worker/main	main_pod_to_container	2026-05-03T17:32:52.000Z	2026-05-03T17:32:54.000Z	-4.630	2.000	restore pod yaml	
qwen3-06b	Qwen/Qwen3-0.6B	gms-local-ssd-pinned-manu-0503173108	snapshot-agent	restore_agent_to_nsrestore	2026-05-03T17:32:56.630Z	2026-05-03T17:32:56.763Z	0.000	0.134	snapshot-agent	
qwen3-06b	Qwen/Qwen3-0.6B	gms-local-ssd-pinned-manu-0503173108	worker/main	main_gms_remap	2026-05-03T17:32:59.524Z	2026-05-03T17:32:59.563Z	2.894	0.039	worker main log	
qwen3-06b	Qwen/Qwen3-0.6B	gms-local-ssd-pinned-manu-0503173108	worker/main	registration_to_generate_endpoint	2026-05-03T17:32:59.578Z	2026-05-03T17:33:00.201Z	2.948	0.623	worker main log	
qwen3-06b	Qwen/Qwen3-0.6B	gms-local-ssd-pinned-manu-0503173108	worker/main	generate_endpoint_to_metadata_snapshot	2026-05-03T17:33:00.201Z	2026-05-03T17:33:01.298Z	3.571	1.097	worker main log	
