model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0503222312	frontend/main	frontend_pod_to_container	2026-05-03T22:24:44.000Z	2026-05-03T22:24:47.000Z	-1.788	3.000	k8s pod watch	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0503222312	frontend/main	frontend_start_to_discovery	2026-05-03T22:24:47.000Z	2026-05-03T22:24:48.248Z	1.212	1.248	frontend log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0503222312	frontend/main	frontend_discovery_to_metadata_snapshot	2026-05-03T22:24:48.248Z	2026-05-03T22:24:55.621Z	2.460	7.373	frontend log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0503222312	frontend/main	frontend_metadata_to_ready	2026-05-03T22:24:55.621Z	2026-05-03T22:24:59.000Z	9.833	3.379	frontend log + k8s pod watch	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0503222312	frontend/main	frontend_ready_to_first_request	2026-05-03T22:24:59.000Z	2026-05-03T22:25:09.893Z	13.212	10.893	frontend log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0503222312	frontend/main	frontend_inference_request	2026-05-03T22:25:09.893Z	2026-05-03T22:25:10.496Z	24.105	0.603	frontend log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0503222312	worker/main	restore_pod_to_container	2026-05-03T22:24:44.000Z	2026-05-03T22:24:45.000Z	-1.788	1.000	k8s pod watch	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0503222312	worker/main	restore_complete_to_sentinel	2026-05-03T22:24:53.640Z	2026-05-03T22:24:53.649Z	7.852	0.009	restore-worker log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0503222312	worker/main	worker_wake_up	2026-05-03T22:24:53.649Z	2026-05-03T22:24:53.815Z	7.861	0.166	restore-worker log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0503222312	worker/main	worker_after_wake_to_discovery	2026-05-03T22:24:53.815Z	2026-05-03T22:24:53.830Z	8.027	0.015	restore-worker log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0503222312	worker/main	worker_register_model	2026-05-03T22:24:53.865Z	2026-05-03T22:24:54.131Z	8.077	0.266	restore-worker log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0503222312	worker/main	worker_endpoint_to_metadata_snapshot	2026-05-03T22:24:54.131Z	2026-05-03T22:24:55.622Z	8.343	1.491	restore-worker log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0503222312	snapshot-agent	agent_detect_to_restore_start	2026-05-03T22:24:45.788Z	2026-05-03T22:24:45.812Z	0.000	0.024	snapshot-agent log	
qwen3-06b	Qwen/Qwen3-0.6B	dckpt-qwen3-06b-0503222312	snapshot-agent	host_inspect	2026-05-03T22:24:45.812Z	2026-05-03T22:24:45.824Z	0.024	0.012	snapshot-agent Restore timing summary	
