"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that environment variables in paths are expanded by Python code.","3","test_custom_jinja_template_env_var_expansion","components.src.dynamo.vllm.tests","2026-03-20","passed","2026-03-20","","test_vllm_unit","",""
"Test decoding embeddings of various sizes.","1","test_various_embedding_sizes[1024]","components.src.dynamo.vllm.tests","2026-03-20","passed","2026-03-20","TestEmbeddingsDataFormats","test_vllm_prompt_embeds","",""
"_generate_agg yields dicts formatted by _format_engine_output.","2","test_streams_serialized_responses","components.src.dynamo.vllm.tests.multimodal_handlers","2026-03-20","passed","2026-03-20","TestGenerateAgg","test_vllm_multimodal_pd_worker_handler","",""
"","1","test_skip_oversized_item","components.src.dynamo.vllm.tests.multimodal_utils","2026-03-20","passed","2026-03-20","TestSchedulerSideLRU","test_vllm_multimodal_embedding_cache_connector","",""
"Test that width exceeding max_width raises ValueError.","0","test_parse_size_exceeds_max_width","components.src.dynamo.trtllm.tests","2026-03-20","passed","2026-03-20","TestVideHandlerParseSize","test_trtllm_video_diffusion","",""
"--disagg-config and --disagg-config-key must be provided together.","5","test_disagg_config_requires_disagg_config_key","components.src.dynamo.sglang.tests","2026-03-20","passed","2026-03-20","","test_sglang_unit","",""
"Test usage statistics calculation for various scenarios.","0","test_build_completion_usage[text]","components.src.dynamo.vllm.tests","2026-03-20","passed","2026-03-20","TestUsageStatistics","test_vllm_prompt_embeds","",""
"get_avg_time_to_first_token with router source queries dynamo_component_router_* metric.","0","test_get_avg_time_to_first_token_dispatches_to_router_histogram","tests.planner.unit","2026-03-20","passed","2026-03-20","TestPrometheusAPIClientRouterSource","test_prometheus","",""
"Test extracting text only from user messages, ignoring other roles.","0","test_extract_user_text_mixed_roles","components.src.dynamo.vllm.tests","2026-03-20","passed","2026-03-20","","test_vllm_chat_message_utils","",""
"Test empty string returns defaults.","0","test_parse_size_empty_string","components.src.dynamo.trtllm.tests","2026-03-20","passed","2026-03-20","TestVideHandlerParseSize","test_trtllm_video_diffusion","",""
