Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,140.84,25.00,150.00,57.00,107.00,126.90,141.00,146.00,149.00,150.00,150.00,150.00,16.52
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.91,0.00,32.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.76,5.27
HTTP Connection Overhead (ms),1.80,0.00,63.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.76,10.40
HTTP Connection Reused (ratio),0.97,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.17
HTTP Data Received (KB),37.02,7.38,39.49,15.58,28.42,33.45,37.12,38.36,39.05,39.36,39.39,39.43,4.23
HTTP Data Sent (KB),1028.24,1028.16,1028.29,1028.19,1028.20,1028.21,1028.22,1028.24,1028.25,1028.26,1028.27,1028.28,0.02
HTTP DNS Lookup (ms),0.89,0.00,31.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,5.13
HTTP Duration (excl. conn) (ms),1910.95,1177.95,2814.39,1273.74,1484.24,1576.82,1721.03,1870.38,2027.88,2257.65,2579.26,2811.81,298.22
HTTP Receiving (ms),1277.23,608.49,1733.88,953.37,980.12,1031.77,1165.60,1290.10,1412.27,1517.03,1557.58,1644.47,177.91
HTTP Sending (ms),1.25,0.21,32.74,0.21,0.22,0.23,0.24,0.30,0.45,0.49,0.51,32.31,5.32
HTTP Total Time (ms),1912.74,1177.95,2814.39,1273.74,1484.24,1576.82,1721.03,1873.47,2027.88,2257.65,2579.26,2811.81,297.85
HTTP Waiting (TTFB) (ms),632.47,99.48,1337.55,151.77,240.96,281.11,439.78,626.56,745.04,1005.53,1183.42,1335.15,267.54
Image Latency (ms/image),1910.87,1178.03,2814.48,1273.85,1484.31,1576.95,1721.12,1870.31,2027.97,2257.73,2579.36,2811.95,298.23
Image Throughput (images/sec),0.54,0.36,0.85,0.36,0.39,0.44,0.49,0.53,0.58,0.63,0.67,0.79,0.08
Input Sequence Length (tokens),400.00,400.00,401.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,0.06
Inter Chunk Latency (ms),9.16,0.00,577.97,2.15,4.51,5.88,6.25,6.48,6.64,6.92,11.41,119.43,18.13
Inter Token Latency (ms),8.57,4.08,11.64,6.40,6.58,6.92,7.82,8.66,9.48,10.18,10.45,11.04,1.19
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),149.99,148.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,0.10
Output Token Count (tokens),149.99,148.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,0.10
Output Token Throughput Per User (tokens/sec/user),119.08,85.93,244.87,90.61,95.66,98.22,105.50,115.50,127.83,144.41,152.02,156.29,17.58
Prefill Throughput Per User (tokens/sec/user),798.99,298.99,4007.88,299.48,337.90,397.61,535.58,637.78,908.96,1421.23,1657.97,2630.36,500.07
Request Latency (ms),1910.87,1178.03,2814.48,1273.85,1484.31,1576.95,1721.12,1870.31,2027.97,2257.73,2579.36,2811.95,298.23
Time to First Output Token (ms),633.83,99.80,1337.85,152.07,241.28,281.45,440.06,627.17,746.86,1006.00,1183.78,1335.65,268.01
Time to First Token (ms),633.83,99.80,1337.85,152.07,241.28,281.45,440.06,627.17,746.86,1006.00,1183.78,1335.65,268.01
Time to Second Token (ms),27.43,0.68,168.00,1.20,1.82,2.27,3.54,4.43,5.38,121.47,127.30,139.13,47.35

Metric,Value
Benchmark Duration (sec),59.96
Maximum Response Timestamp (ns),1773129231407368448.00
Minimum Request Timestamp (ns),1773129171443568128.00
Output Token Throughput (tokens/sec),2501.39
Request Count,1000.00
Request Throughput (requests/sec),16.68
Total Input Sequence Length (tokens),400004.00
Total Output Sequence Length (tokens),149993.00
Total Output Tokens (tokens),149993.00
Total Token Throughput (tokens/sec),9172.15


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
