Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,118.07,3.00,150.00,3.00,26.00,64.00,106.00,133.00,146.00,149.00,150.00,150.00,38.20
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.79,0.00,49.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.85,32.62,7.27
HTTP Connection Overhead (ms),2.68,0.00,78.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.85,63.25,11.59
HTTP Connection Reused (ratio),0.94,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),31.20,1.64,39.47,1.76,7.70,17.36,28.07,34.97,38.39,39.19,39.38,39.43,9.77
HTTP Data Sent (KB),1028.24,1028.16,1028.30,1028.19,1028.21,1028.21,1028.22,1028.24,1028.25,1028.26,1028.27,1028.28,0.02
HTTP DNS Lookup (ms),0.89,0.00,31.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.66,5.12
HTTP Duration (excl. conn) (ms),2930.28,1123.91,4533.61,1357.61,1549.07,1784.37,2414.76,2974.34,3552.33,3852.78,4483.30,4519.87,788.35
HTTP Receiving (ms),1416.99,192.49,2558.74,652.56,995.76,1081.21,1208.75,1437.50,1590.19,1749.13,1914.75,2152.52,289.15
HTTP Sending (ms),2.10,0.13,49.79,0.14,0.16,0.18,0.23,0.27,0.40,0.48,28.29,33.15,7.31
HTTP Total Time (ms),2932.95,1123.91,4533.61,1357.61,1549.07,1784.37,2414.76,2975.82,3552.33,3852.78,4483.30,4519.87,788.76
HTTP Waiting (TTFB) (ms),1511.18,110.57,2858.31,205.34,308.63,509.66,919.25,1562.57,2175.38,2444.50,2568.81,2855.00,728.72
Image Latency (ms/image),2930.04,1123.99,4533.68,1357.70,1549.14,1784.45,2414.88,2974.44,3552.41,3852.83,4466.39,4519.93,788.29
Image Throughput (images/sec),0.37,0.22,0.89,0.22,0.22,0.26,0.28,0.34,0.41,0.56,0.65,0.74,0.12
Input Sequence Length (tokens),400.00,400.00,401.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,0.06
Inter Chunk Latency (ms),12.14,0.17,756.05,3.44,5.68,6.96,7.25,7.46,7.64,8.00,21.19,129.75,32.08
Inter Token Latency (ms),9.51,1.29,17.17,4.38,6.68,7.26,8.11,9.65,10.67,11.74,12.81,14.46,1.94
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),149.97,148.00,150.00,149.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,0.21
Output Token Count (tokens),149.97,148.00,150.00,149.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,150.00,0.21
Output Token Throughput Per User (tokens/sec/user),110.71,58.23,774.10,69.18,78.06,85.19,93.70,103.65,123.27,137.81,149.64,228.33,33.77
Prefill Throughput Per User (tokens/sec/user),405.36,139.91,3607.01,140.09,155.69,163.62,183.85,255.95,423.13,784.35,1294.09,1944.75,392.96
Request Latency (ms),2930.04,1123.99,4533.68,1357.70,1549.14,1784.45,2414.88,2974.44,3552.41,3852.83,4466.39,4519.93,788.29
Time to First Output Token (ms),1513.38,110.90,2858.91,205.69,309.10,509.97,945.34,1562.82,2175.64,2444.74,2569.18,2855.39,728.70
Time to First Token (ms),1513.38,110.90,2858.91,205.69,309.10,509.97,945.34,1562.82,2175.64,2444.74,2569.18,2855.39,728.70
Time to Second Token (ms),88.53,0.55,756.05,3.08,3.56,4.00,4.65,65.35,123.44,202.97,265.17,720.78,129.26

Metric,Value
Benchmark Duration (sec),46.28
Maximum Response Timestamp (ns),1773126701691445504.00
Minimum Request Timestamp (ns),1773126655413049600.00
Output Token Throughput (tokens/sec),3240.65
Request Count,1000.00
Request Throughput (requests/sec),21.61
Total Input Sequence Length (tokens),400004.00
Total Output Sequence Length (tokens),149972.00
Total Output Tokens (tokens),149972.00
Total Token Throughput (tokens/sec),11884.08


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
