Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,142.84,83.00,151.00,109.00,122.00,130.00,142.00,146.00,148.00,149.10,150.00,151.00,9.51
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.88,0.00,33.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.65,5.28
HTTP Connection Overhead (ms),1.74,0.00,66.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.58,10.43
HTTP Connection Reused (ratio),0.97,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.16
HTTP Data Received (KB),53.32,39.27,54.39,42.13,51.64,52.49,53.24,53.90,54.22,54.28,54.31,54.34,2.05
HTTP Data Sent (KB),1028.24,1028.16,1028.29,1028.19,1028.20,1028.21,1028.22,1028.24,1028.25,1028.26,1028.27,1028.28,0.02
HTTP DNS Lookup (ms),0.86,0.00,32.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.93,5.15
HTTP Duration (excl. conn) (ms),2966.95,707.64,4090.45,1049.79,1269.98,1500.87,2412.80,3207.02,3669.14,3824.75,3842.75,4029.92,849.53
HTTP Receiving (ms),1206.45,504.92,1929.85,705.63,807.42,909.37,1041.49,1185.37,1349.69,1546.36,1655.37,1857.95,244.70
HTTP Sending (ms),1.32,0.26,34.90,0.27,0.28,0.29,0.31,0.43,0.52,0.60,0.71,33.39,5.34
HTTP Total Time (ms),2968.69,707.64,4090.45,1049.79,1269.98,1500.87,2412.80,3207.02,3669.14,3824.75,3842.75,4029.92,850.27
HTTP Waiting (TTFB) (ms),1759.18,180.23,2878.26,203.71,346.13,573.03,1197.69,1949.67,2391.14,2618.97,2686.24,2809.06,751.39
Image Latency (ms/image),2964.53,707.37,4090.55,1049.63,1269.81,1498.60,2412.96,3206.78,3668.77,3815.38,3841.49,4030.06,848.43
Image Throughput (images/sec),0.38,0.24,1.41,0.25,0.26,0.26,0.27,0.31,0.41,0.67,0.79,0.95,0.17
Input Sequence Length (tokens),400.00,400.00,401.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,0.06
Inter Chunk Latency (ms),8.30,0.00,297.27,0.00,2.99,4.62,5.37,6.08,6.69,7.41,13.29,77.82,13.18
Inter Token Latency (ms),8.14,3.60,13.12,4.81,5.53,6.22,7.01,8.05,9.11,10.46,11.30,12.52,1.66
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),148.94,138.00,150.00,141.00,146.00,147.00,148.00,150.00,150.00,150.00,150.00,150.00,1.88
Output Token Count (tokens),148.94,138.00,150.00,141.00,146.00,147.00,148.00,150.00,150.00,150.00,150.00,150.00,1.88
Output Token Throughput Per User (tokens/sec/user),128.25,76.21,277.48,79.85,88.48,95.62,109.77,124.23,142.55,160.66,180.88,207.98,27.60
Prefill Throughput Per User (tokens/sec/user),343.10,138.95,2214.70,142.36,148.87,152.71,167.21,204.68,333.81,697.55,1153.57,1956.97,341.45
Request Latency (ms),2964.53,707.37,4090.55,1049.63,1269.81,1498.60,2412.96,3206.78,3668.77,3815.38,3841.49,4030.06,848.43
Time to First Output Token (ms),1760.65,180.61,2878.72,204.40,346.75,573.45,1198.30,1954.30,2392.23,2619.41,2686.86,2809.79,751.66
Time to First Token (ms),1760.65,180.61,2878.72,204.40,346.75,573.45,1198.30,1954.30,2392.23,2619.41,2686.86,2809.79,751.66
Time to Second Token (ms),45.05,0.00,142.31,0.00,1.96,2.48,3.76,63.08,74.90,85.81,95.80,121.35,37.12

Metric,Value
Benchmark Duration (sec),93.74
Maximum Response Timestamp (ns),1773128165432895488.00
Minimum Request Timestamp (ns),1773128071690257920.00
Output Token Throughput (tokens/sec),1588.83
Request Count,1000.00
Request Throughput (requests/sec),10.67
Total Input Sequence Length (tokens),400004.00
Total Output Sequence Length (tokens),148941.00
Total Output Tokens (tokens),148941.00
Total Token Throughput (tokens/sec),5855.87


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
