Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Error Input Sequence Length (tokens),400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.67,101.00,151.00,115.09,120.00,122.00,125.00,128.00,133.00,135.00,139.00,144.82,5.78
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.83,0.00,33.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.02,5.16
HTTP Connection Overhead (ms),1.64,0.00,66.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.16,10.19
HTTP Connection Reused (ratio),0.97,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.16
HTTP Data Received (KB),46.29,36.41,54.35,41.51,43.18,43.93,44.92,46.07,47.81,48.58,49.99,52.00,2.06
HTTP Data Sent (KB),2.31,2.23,2.37,2.26,2.28,2.28,2.30,2.31,2.32,2.33,2.34,2.35,0.02
HTTP DNS Lookup (ms),0.81,0.00,32.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.17,5.03
HTTP Duration (excl. conn) (ms),6957.93,1811.80,8548.57,4074.73,6473.90,6615.54,6788.43,7010.61,7226.01,7370.61,7500.27,7846.05,559.53
HTTP Receiving (ms),993.80,608.52,1340.17,754.25,832.75,873.50,920.66,989.00,1064.66,1129.78,1167.99,1248.23,103.27
HTTP Sending (ms),1.08,0.15,34.19,0.16,0.16,0.17,0.18,0.21,0.30,0.33,0.37,33.71,5.22
HTTP Total Time (ms),6959.57,1811.80,8548.57,4140.30,6473.90,6615.54,6788.43,7010.61,7226.01,7370.61,7500.27,7846.05,555.17
HTTP Waiting (TTFB) (ms),5963.05,872.69,7464.24,2881.21,5541.28,5660.51,5826.68,6019.99,6215.61,6368.02,6468.62,6749.51,561.54
Image Latency (ms/image),2319.09,603.83,2849.37,1357.70,2157.00,2205.09,2262.71,2336.39,2408.47,2456.63,2500.00,2615.25,186.51
Image Throughput (images/sec),0.44,0.35,1.66,0.38,0.40,0.41,0.42,0.43,0.44,0.45,0.46,0.74,0.08
Input Sequence Length (tokens),400.00,400.00,401.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,0.06
Inter Chunk Latency (ms),7.93,0.00,187.27,1.83,3.28,4.10,4.47,4.78,5.02,5.37,34.07,80.37,14.04
Inter Token Latency (ms),6.93,4.08,9.96,5.09,5.73,5.95,6.38,6.90,7.45,7.95,8.24,8.87,0.80
Number of Images (images),3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,0.00
Output Sequence Length (tokens),144.56,126.00,150.00,131.00,136.00,137.00,142.00,144.00,149.00,150.00,150.00,150.00,4.97
Output Token Count (tokens),144.56,126.00,150.00,131.00,136.00,137.00,142.00,144.00,149.00,150.00,150.00,150.00,4.97
Output Token Throughput Per User (tokens/sec/user),146.26,100.40,244.99,112.80,121.30,125.75,134.18,144.97,156.76,168.10,174.41,196.42,17.34
Prefill Throughput Per User (tokens/sec/user),68.77,53.59,458.18,59.26,61.83,62.81,64.35,66.44,68.65,70.66,72.18,137.25,21.37
Request Latency (ms),6957.28,1811.50,8548.12,4073.09,6470.99,6615.28,6788.14,7009.18,7225.42,7369.90,7500.00,7845.75,559.54
Time to First Output Token (ms),5964.23,873.01,7464.76,2915.34,5541.55,5660.79,5826.99,6020.24,6215.91,6368.27,6469.00,6749.82,559.04
Time to First Token (ms),5964.23,873.01,7464.76,2915.34,5541.55,5660.79,5826.99,6020.24,6215.91,6368.27,6469.00,6749.82,559.04
Time to Second Token (ms),4.16,0.50,114.52,1.94,3.06,3.27,3.52,3.76,3.95,4.16,4.33,6.09,5.52

Metric,Value
Benchmark Duration (sec),217.10
Error Request Count,90.00
Maximum Response Timestamp (ns),1773126957602395904.00
Minimum Request Timestamp (ns),1773126740507019520.00
Output Token Throughput (tokens/sec),605.94
Request Count,910.00
Request Throughput (requests/sec),4.19
Total Error Input Sequence Length (tokens),36000.00
Total Input Sequence Length (tokens),364003.00
Total Output Sequence Length (tokens),131547.00
Total Output Tokens (tokens),131547.00
Total Token Throughput (tokens/sec),2282.64


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
